"time","S","I","R"
465,202.8620381491,0.0236390059789194,797.114322844919
466,202.861565658478,0.0229469337856915,797.115487407735
467,202.861107001887,0.0222751221485777,797.116617875962
468,202.860661774273,0.0216229779954561,797.11771524773
469,202.860229582439,0.0209899256113095,797.118780491948
470,202.859810044705,0.0203754061304437,797.119814549163
471,202.859402790564,0.0197788770435503,797.120818332391
472,202.859007460358,0.0191998117191791,797.121792727921
473,202.858623704963,0.0186376989392008,797.122738596096
474,202.858251185473,0.0180920424478506,797.123656772077
475,202.857889572909,0.0175623605139567,797.124548066575
476,202.857538547923,0.017048185505969,797.125413266569
477,202.857197800518,0.0165490634794135,797.126253136001
478,202.856867029774,0.0160645537764099,797.127068416448
479,202.856545943581,0.0155942286369004,797.12785982778
480,202.856234258384,0.0151376728212472,797.128628068793
481,202.855931698929,0.0146944832438669,797.129373817825
482,202.855637998021,0.0142642686175793,797.130097733359
483,202.855352896291,0.0138466491083573,797.130800454599
484,202.855076141961,0.0134412560001748,797.131482602037
485,202.854807490628,0.0130477313696571,797.132144778001
486,202.854546705043,0.012665727770247,797.132787567185
487,202.854293554905,0.0122949079256089,797.133411537167
488,202.854047816656,0.0119349444320019,797.134017238911
489,202.853809273282,0.0115855194693577,797.134605207247
490,202.853577714125,0.0112463245208111,797.135175961352
491,202.853352934695,0.0109170601004342,797.135730005203
492,202.853134736489,0.010597435488936,797.136267828021
493,202.852922926815,0.0102871684770935,797.136789904707
494,202.852717318624,0.00998598511668927,797.137296696258
495,202.852517730344,0.00969361947873484,797.137788650175
496,202.852323985719,0.00940981341876822,797.138266200861
497,202.852135913653,0.00913431634901778,797.138729769996
498,202.851953348061,0.00886688501723216,797.13917976692
499,202.851776127719,0.00860728329198127,797.139616588987
500,202.851604096126,0.00835528195423911,797.140040621918
501,202.85143710136,0.00811065849506475,797.140452240143
502,202.85127499595,0.00787319691920321,797.140851807129
503,202.851117636742,0.00764268755443297,797.141239675702
504,202.850964884773,0.00741892686649231,797.141616188358
505,202.850816605149,0.00720171727942107,797.14198167757
506,202.850672666926,0.00699086700115964,797.142336466071
507,202.850532942992,0.00678618985425134,797.142680867152
508,202.85039730996,0.00658750511149895,797.143015184927
509,202.850265648053,0.00639463733643047,797.143339714609
510,202.850137841001,0.00620741622843352,797.143654742769
511,202.850013775941,0.00602567647242171,797.143960547585
512,202.849893343311,0.00584925759290051,797.144257399094
513,202.849776436759,0.00567800381230388,797.144545559427
514,202.849662953047,0.00551176391347672,797.144825283038
515,202.849552791959,0.00535039110618196,797.145096816933
516,202.849445856212,0.00519374289751436,797.145360400889
517,202.849342051373,0.00504168096610702,797.145616267659
518,202.849241285775,0.00489407104001926,797.145864643183
519,202.849143470432,0.00475078277819859,797.146105746788
520,202.849048518965,0.00461168965541186,797.146339791378
521,202.848956347524,0.00447666885054429,797.146566983623
522,202.848866874715,0.00434560113816776,797.146787524146
523,202.848780021524,0.00421837078328275,797.147001607691
524,202.848695711254,0.00409486543914101,797.147209423305
525,202.848613869451,0.00397497604805893,797.147411154499
526,202.848534423843,0.00385859674513394,797.14760697941
527,202.848457304273,0.00374562476477921,797.14779707096
528,202.848382442638,0.00363596034999391,797.14798159701
529,202.848309772828,0.00352950666428929,797.148160720506
530,202.848239230671,0.00342616970619257,797.148334599621
531,202.848170753873,0.00332585822625349,797.148503387899
532,202.848104281962,0.00322848364647999,797.14866723439
533,202.848039756238,0.00313395998213221,797.148826283778
534,202.847977119722,0.0030422037658056,797.148980676511
535,202.847916317098,0.00295313397373626,797.149130548927
536,202.847857294674,0.0028666719542634,797.14927603337
537,202.847800000329,0.00278274135838591,797.149417258311
538,202.847744383466,0.00270126807235158,797.149554348459
539,202.847690394973,0.00262218015221966,797.149687424873
540,202.847637987172,0.00254540776033884,797.149816605065
541,202.847587113784,0.0024708831036848,797.14994200311
542,202.847537729884,0.00239854037400267,797.15006372974
543,202.847489791861,0.00232831568970176,797.150181892447
544,202.847443257384,0.00226014703945118,797.150296595575
545,202.847398085357,0.00219397422742657,797.150407940414
546,202.847354235891,0.00212973882015972,797.150516025287
547,202.847311670264,0.002067384094944,797.15062094564
548,202.847270350886,0.00200685498975018,797.150722794123
549,202.84723024127,0.00194809805460841,797.150821660674
550,202.847191305995,0.00189106140441343,797.150917632599
551,202.84715351068,0.00183569467311134,797.151010794645
552,202.847116821947,0.00178194896922757,797.151101229082
553,202.847081207398,0.00172977683269666,797.151189015768
554,202.847046635582,0.00167913219295587,797.151274232223
555,202.847013075971,0.00162997032796431,797.1513569537
556,202.846980498928,0.00158224782622036,797.151437253244
557,202.846948875685,0.00153592254516576,797.151515201769
558,202.846918178316,0.00149095357711081,797.151590868105
559,202.846888379714,0.00144730121273451,797.151664319072
560,202.846859453564,0.00140492690476189,797.15173561953
561,202.846831374322,0.00136379323442187,797.151804832442
562,202.846804117192,0.00132386387847305,797.151872018928
563,202.846777658105,0.00128510357712827,797.151937238316
564,202.846751973694,0.00124747810292044,797.152000548201
565,202.846727041279,0.00121095423047946,797.152062004489
566,202.846702838843,0.0011754997071939,797.152121661449
567,202.846679345012,0.00114108322473157,797.152179571762
568,202.84665653904,0.00110767439139393,797.152235786567
569,202.846634400788,0.00107524370527973,797.152290355506
570,202.846612910705,0.00104376252823439,797.152343326765
571,202.846592049816,0.00101320306056203,797.152394747122
572,202.846571799697,0.000983538316477762,797.152444661985
573,202.846552142468,0.000954742100278739,797.152493115431
574,202.846533060767,0.000926788983212741,797.152540150248
575,202.846514537747,0.000899654281024007,797.152585807971
576,202.846496557048,0.000873314032156417,797.152630128918
577,202.846479102793,0.00084774497659482,797.152673152229
578,202.846462159569,0.000822924535325796,797.152714915894
579,202.846445712413,0.000798830790399746,797.152755456795
580,202.846429746801,0.00077544246557668,797.152794810732
581,202.846414248635,0.000752738907538641,797.152833012456
582,202.846399204229,0.000730700067652156,797.152870095702
583,202.846384600296,0.000709306484264623,797.152906093218
584,202.846370423942,0.000688539265519004,797.152941036792
585,202.846356662646,0.000668380072671642,797.15297495728
586,202.846343304258,0.000648811103898477,797.153007884637
587,202.84633033698,0.000629815078575373,797.15303984794
588,202.846317749361,0.000611375222018656,797.153070875415
589,202.846305530286,0.000593475250672411,797.153100994462
590,202.846293668965,0.000576099357729437,797.153130231676
591,202.846282154922,0.000559232199173195,797.153158612877
592,202.846270977991,0.000542858880228386,797.153186163128
593,202.846260128301,0.000526964942208228,797.153212906756
594,202.84624959627,0.000511536349746804,797.153238867378
595,202.8462393726,0.000496559478405208,797.15326406792
596,202.846229448261,0.000482021102640544,797.153288530635
597,202.846219814489,0.000467908384127172,797.153312277126
598,202.846210462777,0.000454208860419855,797.153335328361
599,202.846201384867,0.000440910433948837,797.153357704697
600,202.846192572743,0.000428001361337102,797.153379425895
601,202.846184018622,0.000415470243030399,797.153400511134
602,202.846175714951,0.000403306013230875,797.153420979034
603,202.846167654397,0.000391497930125418,797.153440847671
604,202.846159829842,0.000380035566400095,797.15346013459
605,202.846152234377,0.000368908800032295,797.153478856822
606,202.846144861293,0.000358107805352466,797.1534970309
607,202.846137704081,0.000347623044367526,797.153514672873
608,202.846130756419,0.000337445258338316,797.153531798321
609,202.846124012173,0.000327565459603636,797.153548422366
610,202.846117465386,0.00031797492364366,797.153564559689
611,202.846111110278,0.000308665181375702,797.153580224539
612,202.846104941237,0.000299628011675561,797.15359543075
613,202.846098952814,0.000290855434117805,797.153610191751
614,202.846093139722,0.000282339701928617,797.153624520575
615,202.846087496827,0.000274073295144953,797.153638429877
616,202.846082019146,0.000266048913973991,797.153651931939
617,202.846076701842,0.000258259472346996,797.153665038684
618,202.846071540219,0.000250698091661918,797.153677761687
619,202.84606652972,0.000243358094709183,797.153690112183
620,202.84606166592,0.000236232999775335,797.153702101079
621,202.846056944523,0.000229316514919295,797.15371373896
622,202.84605236136,0.000222602532416214,797.153725036106
623,202.846047912385,0.000216085123363987,797.15373600249
624,202.846043593667,0.000209758532447677,797.153746647799
625,202.846039401394,0.000203617172857231,797.153756981431
626,202.846035331864,0.000197655621353986,797.153767012513
627,202.846031381482,0.000191868613481627,797.153776749903
628,202.846027546761,0.000186251038917344,797.153786202199
629,202.846023824313,0.000180797936959111,797.153795377748
630,202.846020210849,0.000175504486687389,797.153804284663
631,202.846016703188,0.000170366030002405,797.153812930781
632,202.846013298224,0.000165378016558231,797.153821323758
633,202.846009992952,0.000160536045027129,797.153829471001
634,202.846006784453,0.000155835837667365,797.153837379708
635,202.846003669893,0.000151273243896954,797.153845056861
636,202.846000646522,0.000146844234642464,797.153852509242
637,202.84599771167,0.000142544898792519,797.15385974343
638,202.845994862745,0.000138371439746114,797.153866765814
639,202.845992097231,0.00013432017205966,797.153873582595
640,202.845989412687,0.000130387518192514,797.153880199793
641,202.845986806742,0.000126570005347783,797.153886623251
642,202.845984277094,0.000122864262405636,797.153892858642
643,202.845981821509,0.000119267016946388,797.153898911472
644,202.84597943782,0.000115775092360755,797.153904787086
645,202.845977123921,0.000112385405044703,797.153910490673
646,202.845974877768,0.000109094961676437,797.153916027268
