Example SIR
N= 1000
b= 1e-04
y= 0.05
dt= 1
maxReps= 1000
T,S,I,R
700,200.036944743189,1.63960621207134e-05,799.963038860751
701,200.036944415207,1.59042408319225e-05,799.963039680554
702,200.036944097064,1.54271723642525e-05,799.963040475766
703,200.036943788463,1.49644141876202e-05,799.963041247124
704,200.03694348912,1.45155370462068e-05,799.963041995345
705,200.036943198755,1.40801245602791e-05,799.963042721122
706,200.036942917101,1.36577728399548e-05,799.963043425128
707,200.036942643895,1.32480901105531e-05,799.963044108017
708,200.036942378884,1.2850696349184e-05,799.963044770421
709,200.036942121823,1.24652229322379e-05,799.963045412956
710,200.036941872472,1.20913122934491e-05,799.963046036217
711,200.036941630601,1.17286175922173e-05,799.963046640783
712,200.036941395986,1.13768023918767e-05,799.963047227214
713,200.036941168408,1.10355403476166e-05,799.963047796054
714,200.036940947656,1.07045149037635e-05,799.963048347831
715,200.036940733526,1.03834190001431e-05,799.963048883057
716,200.036940525819,1.00719547872502e-05,799.963049402228
717,200.036940324343,9.76983334996332e-06,799.963049905825
718,200.03694012891,9.4767744395457e-06,799.963050394317
719,200.03693993934,9.19250621368627e-06,799.963050868156
720,200.036939755456,8.91676498433787e-06,799.963051327781
721,200.036939577088,8.64929497311953e-06,799.963051773619
722,200.03693940407,8.38984807405579e-06,799.963052206084
723,200.036939236242,8.13818362343293e-06,799.963052625576
724,200.036939073448,7.89406817655868e-06,799.963053032486
725,200.036938915537,7.65727529121834e-06,799.963053427189
726,200.036938762364,7.42758531762631e-06,799.963053810053
727,200.036938613785,7.20478519467842e-06,799.963054181432
728,200.036938469662,6.98866825231584e-06,799.963054541671
729,200.036938329863,6.77903401981738e-06,799.963054891105
730,200.036938194257,6.57568803984234e-06,799.963055230056
731,200.036938062719,6.37844168805129e-06,799.963055558841
732,200.036937935127,6.18711199813766e-06,799.963055877763
733,200.036937811362,6.00152149210769e-06,799.963056187118
734,200.036937691309,5.82149801565134e-06,799.963056487195
735,200.036937574858,5.64687457845147e-06,799.963056778269
736,200.036937461899,5.47748919928317e-06,799.963057060613
737,200.036937352329,5.31318475575953e-06,799.963057334488
738,200.036937246046,5.15380883858448e-06,799.963057600147
739,200.036937142951,4.99921361017746e-06,799.963057857837
740,200.036937042948,4.84925566753891e-06,799.963058107798
741,200.036936945945,4.70379590922923e-06,799.963058350261
742,200.036936851852,4.56269940633787e-06,799.96305858545
743,200.036936760581,4.42583527732294e-06,799.963058813585
744,200.036936672048,4.29307656660505e-06,799.963059034877
745,200.03693658617,4.16430012680302e-06,799.963059249531
746,200.036936502869,4.03938650450198e-06,799.963059457746
747,200.036936422066,3.91821982944804e-06,799.963059659715
748,200.036936343688,3.80068770706674e-06,799.963059855626
749,200.03693626766,3.68668111420547e-06,799.963060045661
750,200.036936193913,3.57609429800335e-06,799.963060229995
751,200.036936122377,3.46882467779449e-06,799.963060408799
752,200.036936052988,3.36477274995394e-06,799.963060582241
753,200.03693598568,3.26384199559778e-06,799.963060750479
754,200.036935920391,3.16593879105197e-06,799.963060913671
755,200.036935857061,3.07097232100672e-06,799.963061071968
